iter	Passed	Remaining
0	17	1726
1	30	1481
2	46	1514
3	58	1413
4	71	1358
5	84	1327
6	96	1284
7	110	1270
8	122	1237
9	135	1216
10	148	1198
11	162	1194
12	175	1174
13	189	1162
14	203	1153
15	217	1141
16	231	1129
17	245	1119
18	259	1105
19	271	1087
20	284	1068
21	297	1054
22	310	1038
23	324	1028
24	338	1014
25	351	1001
26	364	986
27	377	970
28	389	953
29	403	941
30	416	927
31	431	916
32	444	901
33	455	884
34	467	868
35	479	852
36	490	835
37	500	817
38	511	799
39	522	783
40	534	768
41	546	754
42	555	736
43	567	722
44	578	707
45	589	691
46	601	678
47	611	662
48	622	647
49	633	633
50	643	618
51	652	602
52	661	586
53	672	573
54	684	559
55	695	546
56	705	531
57	715	518
58	725	504
59	736	490
60	747	477
61	758	464
62	767	450
63	775	436
64	784	422
65	793	408
66	802	395
67	812	382
68	821	369
69	832	356
70	842	343
71	851	331
72	859	318
73	869	305
74	879	293
75	889	280
76	899	268
77	912	257
78	925	245
79	936	234
80	945	221
81	956	209
82	966	197
83	975	185
84	984	173
85	993	161
86	1004	150
87	1013	138
88	1023	126
89	1032	114
90	1042	103
91	1051	91
92	1061	79
93	1072	68
94	1082	56
95	1093	45
96	1106	34
97	1115	22
98	1125	11
99	1137	0
